2.442	0.01
2.444	0.01
2.446	0.01
2.448	0.02
2.450	0.02
2.452	0.04
2.454	0.06
2.456	0.09
2.458	0.18
2.460	0.23
2.462	0.29
2.464	0.4
2.466	0.47
2.468	0.52
2.470	0.54
2.472	0.53
2.474	0.52
2.476	0.51
2.478	0.51
2.480	0.51
2.482	0.51
2.484	0.52
2.486	0.52
2.488	0.53
2.490	0.53
2.492	0.53
2.494	0.52
2.496	0.52
2.498	0.51
2.500	0.51
2.502	0.5
2.504	0.5
2.506	0.49
2.508	0.48
2.510	0.48
2.512	0.47
2.514	0.46
2.516	0.45
2.518	0.43
2.520	0.4
2.522	0.34
2.524	0.27
2.526	0.21
2.528	0.17
2.530	0.1
2.532	0.07
2.534	0.05
2.536	0.04
2.538	0.03
2.540	0.02
2.542	0.02
2.544	0.01
2.546	0.01
2.548	0.01
2.550	0
