2.048	0
2.052	0.01
2.054	0.01
2.056	0.02
2.058	0.02
2.050	0.04
2.062	0.06
2.064	0.09
2.066	0.13
2.068	0.2
2.060	0.35
2.072	0.5
2.074	0.59
2.076	0.6
2.078	0.61
2.070	0.6
2.082	0.57
2.084	0.56
2.086	0.57
2.088	0.58
2.080	0.59
2.092	0.58
2.094	0.57
2.096	0.58
2.098	0.59
2.090	0.59
2.100	0.59
2.102	0.59
2.104	0.58
2.106	0.57
2.108	0.55
2.110	0.52
2.112	0.51
2.114	0.5
2.116	0.49
2.118	0.5
2.120	0.53
2.122	0.55
2.124	0.57
2.126	0.57
2.128	0.48
2.130	0.33
2.132	0.2
2.134	0.14
2.136	0.1
2.138	0.05
2.140	0.03
2.142	0.02
2.144	0.01
2.146	0.01
2.148	0
