2.346	0
2.348	0.01
2.350	0.01
2.352	0.02
2.354	0.02
2.356	0.02
2.358	0.03
2.360	0.05
2.362	0.1
2.364	0.15
2.366	0.25
2.368	0.35
2.370	0.46
2.372	0.52
2.374	0.53
2.376	0.52
2.378	0.5
2.380	0.49
2.382	0.49
2.384	0.49
2.386	0.49
2.388	0.5
2.390	0.51
2.392	0.51
2.394	0.52
2.396	0.52
2.398	0.53
2.400	0.53
2.402	0.53
2.404	0.52
2.406	0.52
2.408	0.51
2.410	0.51
2.412	0.51
2.414	0.5
2.416	0.5
2.418	0.48
2.420	0.46
2.422	0.42
2.424	0.35
2.426	0.29
2.428	0.22
2.430	0.16
2.432	0.1
2.434	0.06
2.436	0.04
2.438	0.03
2.440	0.02
2.442	0.02
2.444	0.01
2.446	0.01
2.448	0.01
2.450	0
