2.382	0
2.384	0.01
2.386	0.01
2.388	0.02
2.390	0.03
2.392	0.05
2.394	0.06
2.396	0.1
2.398	0.19
2.400	0.28
2.402	0.38
2.404	0.45
2.406	0.49
2.408	0.49
2.410	0.47
2.412	0.47
2.414	0.48
2.416	0.49
2.418	0.49
2.420	0.49
2.422	0.5
2.424	0.51
2.426	0.54
2.428	0.52
2.430	0.52
2.432	0.54
2.434	0.54
2.436	0.52
2.438	0.53
2.440	0.54
2.442	0.53
2.444	0.51
2.446	0.5
2.448	0.49
2.450	0.5
2.452	0.49
2.454	0.48
2.456	0.45
2.458	0.4
2.460	0.34
2.462	0.27
2.464	0.2
2.466	0.18
2.468	0.1
2.470	0.06
2.472	0.03
2.474	0.02
2.476	0.01
2.478	0.01
2.480	0
