2.170	0.01
2.172	0.01
2.174	0.01
2.176	0.02
2.178	0.02
2.180	0.04
2.182	0.06
2.184	0.1
2.186	0.17
2.188	0.23
2.190	0.36
2.192	0.42
2.194	0.5
2.196	0.54
2.198	0.55
2.200	0.52
2.202	0.53
2.204	0.53
2.206	0.54
2.208	0.54
2.210	0.51
2.212	0.51
2.214	0.5
2.216	0.5
2.218	0.5
2.220	0.49
2.222	0.49
2.224	0.48
2.226	0.46
2.228	0.46
2.230	0.45
2.232	0.46
2.234	0.48
2.236	0.49
2.238	0.5
2.240	0.49
2.242	0.46
2.244	0.37
2.246	0.3
2.248	0.2
2.250	0.1
2.252	0.06
2.254	0.03
2.256	0.02
2.258	0.01
2.260	0.01
2.262	0
2.264	0
