# author : Conchi Cardenas Vazquez
# date_created : 2023-06-20
# source : Final LSS design for manufacturing
# wave_unit : um
# xi_unit : arcsec
# x_unit : mm
# y_unit : mm
#
# comments :
# - WARNING : Origin of coordinates at the detector: Detector sensitive surface, bottom-left corner.
# - lambda: 11 points
# - Field of View on-sky:	11 points
# - conf#5
# - N-band
# - spectra lenght = 1862 px
# - Field of View on-sky: s [arcsec], with respect to the optical axis.
# - Slit @CFO FP2: on-axis.
# - Coords at the detector: x, y [mm]
#
wavelength	xi	x	y
7.60	5	5.050256	36.194583
7.60	4	7.727612	36.173205
7.60	3	10.404596	36.156533
7.60	2	13.081082	36.144593
7.60	1	15.756942	36.137400
7.60	0	18.432042	36.134966
7.60	-1	21.106248	36.137288
7.60	-2	23.779428	36.144357
7.60	-3	26.451448	36.156157
7.60	-4	29.122180	36.172661
7.60	-5	31.791501	36.193832
8.18	5	5.058012	32.824603
8.18	4	7.733884	32.803345
8.18	3	10.409341	32.786763
8.18	2	13.084270	32.774886
8.18	1	15.758551	32.767732
8.18	0	18.432063	32.765309
8.18	-1	21.104682	32.767619
8.18	-2	23.776284	32.774651
8.18	-3	26.446748	32.786387
8.18	-4	29.115956	32.802801
8.18	-5	31.783794	32.823855
8.76	5	5.065699	29.460637
8.76	4	7.740103	29.439542
8.76	3	10.414049	29.423085
8.76	2	13.087433	29.411297
8.76	1	15.760148	29.404195
8.76	0	18.432084	29.401790
8.76	-1	21.103127	29.404082
8.76	-2	23.773164	29.411062
8.76	-3	26.442085	29.422711
8.76	-4	29.109783	29.439000
8.76	-5	31.776156	29.459893
9.34	5	5.073256	26.101630
9.34	4	7.746220	26.080742
9.34	3	10.418680	26.064446
9.34	2	13.090546	26.052771
9.34	1	15.761721	26.045738
9.34	0	18.432104	26.043356
9.34	-1	21.101595	26.045626
9.34	-2	23.770093	26.052538
9.34	-3	26.437497	26.064074
9.34	-4	29.103712	26.080205
9.34	-5	31.768647	26.100892
9.92	5	5.080619	22.746734
9.92	4	7.752184	22.726100
9.92	3	10.423199	22.710000
9.92	2	13.093585	22.698465
9.92	1	15.763255	22.691515
9.92	0	18.432124	22.689161
9.92	-1	21.100100	22.691404
9.92	-2	23.767094	22.698234
9.92	-3	26.433019	22.709632
9.92	-4	29.097791	22.725568
9.92	-5	31.761329	22.746004
10.50	5	5.087725	19.395242
10.50	4	7.757946	19.374908
10.50	3	10.427567	19.359040
10.50	2	13.096523	19.347669
10.50	1	15.764740	19.340818
10.50	0	18.432142	19.338498
10.50	-1	21.098653	19.340709
10.50	-2	23.764194	19.347441
10.50	-3	26.428691	19.358676
10.50	-4	29.092070	19.374383
10.50	-5	31.754266	19.394521
11.08	5	5.094509	16.046540
11.08	4	7.763452	16.026553
11.08	3	10.431745	16.010954
11.08	2	13.099335	15.999775
11.08	1	15.766160	15.993038
11.08	0	18.432159	15.990757
11.08	-1	21.097267	15.992931
11.08	-2	23.761418	15.999551
11.08	-3	26.424549	16.010596
11.08	-4	29.086602	16.026037
11.08	-5	31.747522	16.045831
11.66	5	5.100907	12.700087
11.66	4	7.768651	12.680496
11.66	3	10.435694	12.665202
11.66	2	13.101994	12.654241
11.66	1	15.767504	12.647635
11.66	0	18.432175	12.645397
11.66	-1	21.095955	12.647529
11.66	-2	23.758791	12.654021
11.66	-3	26.420634	12.664851
11.66	-4	29.081438	12.679990
11.66	-5	31.741161	12.699393
12.24	5	5.106851	9.355396
12.24	4	7.773490	9.336247
12.24	3	10.439374	9.321297
12.24	2	13.104474	9.310580
12.24	1	15.768758	9.304122
12.24	0	18.432189	9.301934
12.24	-1	21.094729	9.304018
12.24	-2	23.756340	9.310366
12.24	-3	26.416984	9.320955
12.24	-4	29.076630	9.335753
12.24	-5	31.735248	9.354718
12.82	5	5.112276	6.012023
12.82	4	7.777916	5.993366
12.82	3	10.442745	5.978797
12.82	2	13.106748	5.968352
12.82	1	15.769908	5.962056
12.82	0	18.432201	5.959924
12.82	-1	21.093603	5.961956
12.82	-2	23.754090	5.968143
12.82	-3	26.413639	5.978464
12.82	-4	29.072230	5.992886
12.82	-5	31.729851	6.011364
13.4	5	5.117115	2.669565
13.4	4	7.781875	2.651449
13.4	3	10.445766	2.637298
13.4	2	13.108790	2.627152
13.4	1	15.770941	2.621037
13.4	0	18.432211	2.618965
13.4	-1	21.092590	2.620939
13.4	-2	23.752068	2.626950
13.4	-3	26.410638	2.636976
13.4	-4	29.068293	2.650983
13.4	-5	31.725035	2.668927
