# source : skycalc web-ui
# author : Kieran Leschinski
# date_created : 2020-05-23
# location : la silla
# airmass : 1.2
# pwv : 10
# pwv_unit : mm
# altitude : 2400
# season : entire year
# period : entire night
# area : 1.52
# area_unit : m2
# action : transmission
# emission_unit : ph s-1 m-2 um-1 arcsec-2
# wavelength_unit : nm
#
wavelength  transmission    emission
501	        0.8373	        584.12
502	        0.8372	        582.62
503	        0.8368	        599.39
504	        0.8334	        596.43
505	        0.8379	        599.76
506	        0.8379	        616.99
507	        0.8387	        605.81
508	        0.8403	        598.54
509	        0.8419	        600.72
510	        0.8433	        602.59
511	        0.8448	        613.44
512	        0.8458	        609.70
513	        0.8466	        586.90
514	        0.8472	        587.13
515	        0.8478	        591.81
516	        0.8484	        573.93
517	        0.8490	        539.78
518	        0.8496	        542.65
519	        0.8502	        560.64
520	        0.8507	        691.45
521	        0.8511	        588.52
522	        0.8514	        592.74
523	        0.8516	        597.45
524	        0.8514	        615.23
525	        0.8514	        611.74
526	        0.8516	        604.06
527	        0.8514	        547.93
528	        0.8515	        591.53
529	        0.8515	        593.46
530	        0.8516	        610.38
531	        0.8518	        616.48
532	        0.8522	        591.18
533	        0.8527	        587.33
534	        0.8534	        591.01
535	        0.8543	        595.37
536	        0.8552	        605.43
537	        0.8559	        584.46
538	        0.8566	        588.11
539	        0.8570	        584.92
540	        0.8571	        566.63
541	        0.8565	        565.13
542	        0.8566	        578.11
543	        0.8579	        573.89
544	        0.8573	        582.30
545	        0.8582	        587.55
546	        0.8578	        591.55
547	        0.8589	        587.15
548	        0.8597	        585.23
549	        0.8604	        596.12
550	        0.8608	        596.61
551	        0.8613	        589.04
552	        0.8618	        586.11
553	        0.8621	        582.93
554	        0.8624	        600.71
555	        0.8626	        609.26
556	        0.8627	        588.19
557	        0.8627	        606.44
558	        0.8627	        4761.67
559	        0.8625	        590.60
560	        0.8623	        586.24
561	        0.8620	        610.11
562	        0.8617	        589.41
563	        0.8614	        614.56
564	        0.8612	        596.03
565	        0.8609	        597.95
566	        0.8606	        579.57
567	        0.8601	        601.50
568	        0.8588	        593.14
569	        0.8551	        582.92
570	        0.8558	        588.40
571	        0.8575	        576.64
572	        0.8553	        590.58
573	        0.8553	        601.37
574	        0.8553	        598.88
575	        0.8551	        595.07
576	        0.8557	        590.51
577	        0.8565	        594.28
578	        0.8580	        590.60
579	        0.8598	        583.29
580	        0.8620	        592.80
581	        0.8643	        597.14
582	        0.8663	        602.44
583	        0.8681	        605.32
584	        0.8693	        603.48
585	        0.8703	        597.79
586	        0.8708	        588.94
587	        0.8705	        714.55
588	        0.8649	        591.39
589	        0.8523	        1216.85
590	        0.8536	        920.26
591	        0.8607	        607.29
592	        0.8559	        640.00
593	        0.8604	        693.63
594	        0.8594	        574.09
595	        0.8571	        596.75
596	        0.8644	        670.31
597	        0.8641	        597.79
598	        0.8666	        613.84
599	        0.8684	        571.60
600	        0.8708	        585.16
601	        0.8727	        592.48
602	        0.8733	        568.55
603	        0.8742	        578.06
604	        0.8753	        591.16
605	        0.8760	        578.19
606	        0.8768	        576.14
607	        0.8777	        581.90
608	        0.8787	        574.73
609	        0.8797	        572.25
610	        0.8807	        573.48
611	        0.8816	        569.59
612	        0.8826	        569.24
613	        0.8835	        560.31
614	        0.8843	        584.07
615	        0.8851	        591.17
616	        0.8858	        563.03
617	        0.8865	        592.91
618	        0.8872	        578.54
619	        0.8877	        584.52
620	        0.8881	        603.42
621	        0.8885	        577.76
622	        0.8888	        603.79
623	        0.8890	        555.76
624	        0.8892	        790.74
625	        0.8893	        600.31
626	        0.8892	        724.62
627	        0.8882	        621.39
628	        0.8619	        554.22
629	        0.8785	        672.66
630	        0.8784	        3626.49
631	        0.8867	        717.00
632	        0.8883	        584.06
633	        0.8918	        729.29
634	        0.8942	        541.28
635	        0.8956	        573.65
636	        0.8973	        630.37
637	        0.8987	        1546.80
638	        0.9005	        561.97
639	        0.9016	        582.79
640	        0.9029	        534.14
641	        0.9039	        529.11
642	        0.9050	        570.14
643	        0.9054	        530.75
644	        0.9065	        530.30
645	        0.9064	        536.83
646	        0.9037	        538.00
647	        0.8975	        732.77
648	        0.8915	        533.82
649	        0.8925	        503.50
650	        0.9040	        744.19
651	        0.9066	        589.38
652	        0.8933	        573.69
653	        0.9063	        682.50
654	        0.9086	        519.32
655	        0.9013	        567.61
656	        0.9085	        709.60
657	        0.9080	        518.84
658	        0.9113	        655.12
659	        0.9135	        517.70
660	        0.9152	        545.30
661	        0.9173	        589.95
662	        0.9186	        518.56
663	        0.9189	        532.47
664	        0.9196	        546.77
665	        0.9203	        518.70
666	        0.9210	        527.93
667	        0.9217	        522.32
668	        0.9225	        509.61
669	        0.9230	        510.23
670	        0.9237	        514.47
671	        0.9242	        511.80
672	        0.9248	        508.38
673	        0.9254	        503.98
674	        0.9259	        509.65
675	        0.9264	        504.36
676	        0.9269	        496.25
677	        0.9274	        496.30
678	        0.9279	        494.33
679	        0.9283	        503.77
680	        0.9287	        491.52
681	        0.9291	        492.04
682	        0.9293	        490.98
683	        0.9295	        833.29
684	        0.9299	        794.54
685	        0.9305	        491.58
686	        0.9305	        533.56
687	        0.7314	        878.44
688	        0.8102	        477.83
689	        0.8177	        523.44
690	        0.8315	        534.12
691	        0.8695	        582.85
692	        0.8897	        454.81
693	        0.8895	        720.76
694	        0.8813	        566.60
695	        0.9004	        754.21
696	        0.8955	        468.30
697	        0.9277	        562.56
