# description : ELT lateral focus (6 mirrors), no spider emission
# author : Oliver Czoske
# source : ESO-333023_1, ESO-253082_4-0 (Sect. 4.11, 4.12.2)
# date_created  : 2021-02-04
# date_modified : 2021-12-01
# type : TERCurve
# status : design
# action : reflection
# outer : 37.3
# outer_unit : m
# inner : 11.1
# inner_unit : m
# wavelength_unit : um
# changes :
#  - 2021-02-05 (OC) Added inner and outer diameters
#  - 2021-12-01 (OC) Reflection reduced by 12 per cent
#
# notes :
#  - derived from ESO-333023_1 (R. Holzloehner)
#  - script convert_ELT_throughput_budget.R
#  - see ESO-306070 and ESO-293390 for background
#  - includes M1, M2, M3, M4, M5, M6
#  - spiders assumed to be masked (pupil-tracking)
#  - central obscuration assumed to be masked
#  - reflection includes dust contamination as in ESO-253082_4, sect 4.11
#
wavelength reflection emissivity
 0.300         0.0000         1.1300
 0.305         0.0000         1.1300
 0.310         0.0000         1.1300
 0.315         0.0000         1.1300
 0.320         0.0000         1.1300
 0.325         0.0000         1.1300
 0.330         0.0018         1.1280
 0.335         0.0167         1.1110
 0.340         0.0457         1.0781
 0.345         0.0791         1.0401
 0.350         0.1111         1.0037
 0.355         0.1410         0.9698
 0.360         0.1660         0.9414
 0.365         0.1920         0.9118
 0.370         0.2151         0.8856
 0.375         0.2369         0.8608
 0.380         0.2593         0.8353
 0.385         0.2790         0.8129
 0.390         0.2988         0.7905
 0.395         0.3175         0.7692
 0.400         0.3372         0.7468
 0.405         0.3540         0.7277
 0.410         0.3705         0.7090
 0.415         0.3874         0.6898
 0.420         0.4011         0.6742
 0.425         0.4154         0.6580
 0.430         0.4284         0.6432
 0.435         0.4400         0.6300
 0.440         0.4523         0.6160
 0.445         0.4632         0.6036
 0.450         0.4728         0.5927
 0.455         0.4819         0.5824
 0.460         0.4906         0.5725
 0.465         0.4974         0.5648
 0.470         0.5052         0.5559
 0.475         0.5120         0.5482
 0.480         0.5214         0.5375
 0.485         0.5268         0.5314
 0.490         0.5316         0.5259
 0.495         0.5386         0.5179
 0.500         0.5430         0.5129
 0.505         0.5514         0.5034
 0.510         0.5543         0.5001
 0.515         0.5590         0.4948
 0.520         0.5645         0.4885
 0.525         0.5675         0.4851
 0.530         0.5716         0.4804
 0.535         0.5777         0.4735
 0.540         0.5809         0.4699
