# description : ELT telescope throughput vs. wavelength for the M1->M5.
# author : R. Holzloehner
# source : See ESO-306070 and ESO-293390 for background.
# date_created : 2018-09-18
# date_modified : 2021-12-01
# type : TERCurve
# status : design
# action : reflection
# outer : 37.3
# outer_unit : m
# inner : 11.1
# inner_unit : m
# wavelength_unit : um
# notes :
#   - Baseline coatings.
#   - Dust contaminated coatings.
#   - 4nm roughness modeled.
#   - Partly based on measured data by Tom Schneider (Gemini).
#   - Reflection is for the combined M1-M5 system, not for individual mirrors
#   - Reflection reduced for contamination by 11.7 per cent as in ESO-253082_4, sect 4.11
#   - Emissivity is calculated from ESO-253082_4, sect 4.12.2
# changes :
#   - 2019-11-06 (KL) Converted from .xlsx to .dat file, added ScopeSim meta data
#   - 2020-07-09 (KL) Added inner and outer dimensions to meta, for use with MICADO-Sci
#   - 2020-08-17 (KL) Added emissivity column according to ESO-253082_4, sect 4.12.2
#   - 2021-12-01 (OC) Reflectivity reduced by 11.7 per cent
#
wavelength  reflection  emissivity
     1.195      0.7891      0.2263
     1.200      0.7920      0.2231
     1.205      0.7913      0.2238
     1.210      0.7975      0.2168
     1.215      0.7951      0.2196
     1.220      0.7952      0.2194
     1.225      0.7971      0.2173
     1.230      0.7962      0.2183
     1.235      0.7986      0.2156
     1.240      0.7970      0.2174
     1.245      0.7983      0.2159
     1.250      0.8005      0.2134
     1.255      0.8005      0.2134
     1.260      0.8006      0.2133
     1.265      0.8011      0.2127
     1.270      0.8010      0.2129
     1.275      0.8031      0.2105
     1.280      0.8012      0.2126
     1.285      0.8034      0.2101
     1.290      0.8038      0.2097
     1.295      0.8048      0.2086
     1.300      0.8030      0.2106
     1.305      0.8057      0.2075
     1.310      0.8025      0.2112
     1.315      0.8044      0.2090
     1.320      0.8048      0.2086
     1.325      0.8049      0.2084
     1.330      0.8051      0.2082
     1.335      0.8066      0.2065
     1.340      0.8069      0.2062
     1.345      0.8061      0.2071
     1.350      0.8086      0.2043
     1.355      0.8092      0.2036
     1.360      0.8082      0.2047
     1.365      0.8094      0.2033
     1.370      0.8117      0.2008
     1.375      0.8102      0.2024
     1.380      0.8108      0.2018
     1.385      0.8109      0.2017
     1.390      0.8117      0.2008
     1.395      0.8111      0.2014
     1.400      0.8099      0.2028
     1.405      0.8121      0.2003
     1.410      0.8142      0.1979
     1.415      0.8117      0.2008
     1.420      0.8126      0.1997
     1.425      0.8104      0.2022
     1.430      0.8122      0.2002
     1.435      0.8123      0.2001
     1.440      0.8122      0.2002
     1.445      0.8108      0.2018
     1.450      0.8130      0.1993
     1.455      0.8124      0.2000
     1.460      0.8130      0.1993
     1.465      0.8134      0.1988
     1.470      0.8149      0.1971
     1.475      0.8121      0.2003
     1.480      0.8143      0.1978
     1.485      0.8140      0.1981
     1.490      0.8151      0.1969
     1.495      0.8140      0.1981
     1.500      0.8145      0.1976
     1.505      0.8126      0.1997
     1.510      0.8143      0.1978
     1.515      0.8160      0.1959
     1.520      0.8170      0.1947
     1.525      0.8144      0.1977
     1.530      0.8168      0.1950
     1.535      0.8155      0.1964
     1.540      0.8175      0.1942
     1.545      0.8144      0.1977
     1.550      0.8176      0.1941
     1.555      0.8175      0.1942
     1.560      0.8169      0.1949
     1.565      0.8163      0.1955
     1.570      0.8177      0.1939
     1.575      0.8163      0.1955
     1.580      0.8162      0.1956
     1.585      0.8189      0.1926
     1.590      0.8171      0.1946
     1.595      0.8168      0.1950
     1.600      0.8170      0.1947
     1.605      0.8149      0.1971
     1.610      0.8176      0.1941
     1.615      0.8186      0.1929
     1.620      0.8174      0.1943
     1.625      0.8175      0.1942
