# description : ELT telescope throughput vs. wavelength for the M1->M5.
# author : R. Holzloehner
# source : See ESO-306070 and ESO-293390 for background.
# date_created : 2018-09-18
# date_modified : 2019-06-11
# type : TERCurve
# status : design
# action : reflection
# outer : 37.3
# outer_unit : m
# inner : 11.1
# inner_unit : m
# wavelength_unit : um
# notes :
#   - Baseline coatings.
#   - Fresh coatings without contamination.
#   - 4nm roughness modeled.
#   - Partly based on measured data by Tom Schneider (Gemini).
#   - Reflection is for the combined M1-M5 system, not for individual mirrors
#   - Emissivity is calculated from ESO-253082_4, sect 4.12.2
# changes :
#   - 2019-11-06 (KL) Converted from .xlsx to .dat file, added ScopeSim meta data
#   - 2020-07-09 (KL) Added inner and outer dimensions to meta, for use with MICADO-Sci
#   - 2020-08-17 (KL) Added emissivity column according to ESO-253082_4, sect 4.12.2
#
wavelength      reflection  emissivity
1.285           0.9099      0.2101
1.290           0.9103      0.2097
1.295           0.9114      0.2086
1.300           0.9094      0.2106
1.305           0.9125      0.2075
1.310           0.9088      0.2112
1.315           0.9110      0.2090
1.320           0.9114      0.2086
1.325           0.9116      0.2084
1.330           0.9118      0.2082
1.335           0.9135      0.2065
1.340           0.9138      0.2062
1.345           0.9129      0.2071
1.350           0.9157      0.2043
1.355           0.9164      0.2036
1.360           0.9153      0.2047
1.365           0.9167      0.2033
1.370           0.9192      0.2008
1.375           0.9176      0.2024
1.380           0.9182      0.2018
1.385           0.9183      0.2017
1.390           0.9192      0.2008
1.395           0.9186      0.2014
1.400           0.9172      0.2028
1.405           0.9197      0.2003
1.410           0.9221      0.1979
1.415           0.9192      0.2008
1.420           0.9203      0.1997
1.425           0.9178      0.2022
1.430           0.9198      0.2002
1.435           0.9199      0.2001
1.440           0.9198      0.2002
1.445           0.9182      0.2018
1.450           0.9207      0.1993
1.455           0.9200      0.2000
1.460           0.9207      0.1993
1.465           0.9212      0.1988
1.470           0.9229      0.1971
1.475           0.9197      0.2003
1.480           0.9222      0.1978
1.485           0.9219      0.1981
1.490           0.9231      0.1969
1.495           0.9219      0.1981
1.500           0.9224      0.1976
1.505           0.9203      0.1997
1.510           0.9222      0.1978
1.515           0.9241      0.1959
1.520           0.9253      0.1947
1.525           0.9223      0.1977
1.530           0.9250      0.1950
1.535           0.9236      0.1964
1.540           0.9258      0.1942
1.545           0.9223      0.1977
1.550           0.9259      0.1941
1.555           0.9258      0.1942
1.560           0.9251      0.1949
1.565           0.9245      0.1955
1.570           0.9261      0.1939
1.575           0.9245      0.1955
1.580           0.9244      0.1956
1.585           0.9274      0.1926
1.590           0.9254      0.1946
1.595           0.9250      0.1950
1.600           0.9253      0.1947
1.605           0.9229      0.1971
1.610           0.9259      0.1941
1.615           0.9271      0.1929
1.620           0.9257      0.1943
1.625           0.9258      0.1942
1.630           0.9249      0.1951
1.635           0.9248      0.1952
1.640           0.9241      0.1959
1.645           0.9246      0.1954
1.650           0.9224      0.1976
1.655           0.9251      0.1949
1.660           0.9237      0.1963
1.665           0.9228      0.1972
1.670           0.9214      0.1986
1.675           0.9255      0.1945
1.680           0.9221      0.1979
1.685           0.9207      0.1993
1.690           0.9227      0.1973
1.695           0.9233      0.1967
1.700           0.9198      0.2002
1.705           0.9223      0.1977
1.710           0.9198      0.2002
1.715           0.9210      0.1990
1.720           0.9220      0.1980
1.725           0.9207      0.1993
1.730           0.9220      0.1980
1.735           0.9226      0.1974
1.740           0.9203      0.1997
1.745           0.9215      0.1985
1.750           0.9225      0.1975
1.755           0.9225      0.1975
1.760           0.9226      0.1974
1.765           0.9226      0.1974
1.770           0.9227      0.1973
1.775           0.9251      0.1949
1.780           0.9252      0.1948
1.785           0.9241      0.1959
1.790           0.9244      0.1956
1.795           0.9262      0.1938
1.800           0.9221      0.1979
1.805           0.9244      0.1956
1.810           0.9254      0.1946
1.815           0.9265      0.1935
1.820           0.9269      0.1931
1.825           0.9286      0.1914
1.830           0.9272      0.1928
1.835           0.9259      0.1941
1.840           0.9264      0.1936
1.845           0.9270      0.1930
1.850           0.9312      0.1888
1.855           0.9295      0.1905
1.860           0.9267      0.1933
1.865           0.9282      0.1918
1.870           0.9283      0.1917
1.875           0.9270      0.1930
1.880           0.9294      0.1906
1.885           0.9298      0.1902
1.890           0.9294      0.1906
1.895           0.9297      0.1903
1.900           0.9297      0.1903
1.905           0.9265      0.1935
1.910           0.9309      0.1891
1.915           0.9321      0.1879
1.920           0.9294      0.1906
1.925           0.9303      0.1897
1.930           0.9307      0.1893
1.935           0.9330      0.1870
1.940           0.9309      0.1891
1.945           0.9350      0.1850
1.950           0.9320      0.1880
1.955           0.9330      0.1870
1.960           0.9339      0.1861
1.965           0.9329      0.1871
1.970           0.9348      0.1852
1.975           0.9320      0.1880
1.980           0.9335      0.1865
1.985           0.9337      0.1863
1.990           0.9337      0.1863
1.995           0.9338      0.1862
2.000           0.9356      0.1844
2.005           0.9347      0.1853
2.010           0.9361      0.1839
2.015           0.9360      0.1840
2.020           0.9372      0.1828
2.025           0.9372      0.1828
2.030           0.9376      0.1824
2.035           0.9383      0.1817
2.040           0.9376      0.1824
2.045           0.9377      0.1823
2.050           0.9408      0.1792
2.055           0.9382      0.1818
2.060           0.9396      0.1804
2.065           0.9405      0.1795
2.070           0.9404      0.1796
2.075           0.9396      0.1804
2.080           0.9431      0.1769
2.085           0.9388      0.1812
2.090           0.9427      0.1773
2.095           0.9428      0.1772
2.100           0.9422      0.1778
2.105           0.9419      0.1781
2.110           0.9436      0.1764
2.115           0.9435      0.1765
2.120           0.9440      0.1760
2.125           0.9447      0.1753
2.130           0.9451      0.1749
2.135           0.9447      0.1753
2.140           0.9452      0.1748
2.145           0.9462      0.1738
2.150           0.9445      0.1755
2.155           0.9470      0.1730
2.160           0.9463      0.1737
2.165           0.9476      0.1724
2.170           0.9459      0.1741
2.175           0.9483      0.1717
2.180           0.9462      0.1738
2.185           0.9486      0.1714
2.190           0.9461      0.1739
2.195           0.9478      0.1722
2.200           0.9472      0.1728
2.205           0.9483      0.1717
2.210           0.9491      0.1709
2.215           0.9518      0.1682
2.220           0.9494      0.1706
2.225           0.9514      0.1686
2.230           0.9504      0.1696
2.235           0.9501      0.1699
2.240           0.9477      0.1723
2.245           0.9512      0.1688
2.250           0.9539      0.1661
2.255           0.9582      0.1618
2.260           0.9588      0.1612
2.265           0.9695      0.1505
2.270           0.9661      0.1539
2.275           0.9607      0.1593
2.280           0.9559      0.1641
2.285           0.9491      0.1709
2.290           0.9513      0.1687
2.295           0.9521      0.1679
2.300           0.9540      0.1660
2.305           0.9521      0.1679
2.310           0.9529      0.1671
2.315           0.9513      0.1687
2.320           0.9532      0.1668
2.325           0.9548      0.1652
2.330           0.9536      0.1664
2.335           0.9565      0.1635
2.340           0.9540      0.1660
2.345           0.9540      0.1660
2.350           0.9565      0.1635
2.355           0.9545      0.1655
2.360           0.9566      0.1634
2.365           0.9561      0.1639
2.370           0.9571      0.1629
2.375           0.9589      0.1611
2.380           0.9557      0.1643
2.385           0.9579      0.1621
2.390           0.9554      0.1646
2.395           0.9560      0.1640
2.400           0.9537      0.1663
2.405           0.9538      0.1662
2.410           0.9586      0.1614
2.415           0.9581      0.1619
2.420           0.9553      0.1647
2.425           0.9537      0.1663
2.430           0.9576      0.1624
2.435           0.9568      0.1632
2.440           0.9566      0.1634
2.445           0.9588      0.1612
2.450           0.9598      0.1602
2.455           0.9587      0.1613
2.460           0.9571      0.1629
2.465           0.9591      0.1609
2.470           0.9601      0.1599
2.475           0.9595      0.1605
2.480           0.9611      0.1589
2.485           0.9589      0.1611
2.490           0.9624      0.1576
2.495           0.9592      0.1608
2.500           0.9582      0.1618
24.000          0.9702      0.1498
