# description : ELT lateral focus (6 mirrors), with spider emission
# author : Oliver Czoske
# source : ESO-333023_1, ESO-253082_4-0
# date_created  : 2021-02-04
# date_modified : 2021-02-05
# type : TERCurve
# status : design
# action : reflection
# outer : 37.3
# outer_unit : m
# inner : 11.1
# inner_unit : m
# wavelength_unit : um
# changes :
#  - 2021-02-05 (OC) Added inner and outer diameters
#
# notes :
#  - derived from ESO-333023_1 (R. Holzloehner)
#  - emissivity is calculated from ESO-253082_4, sect 4.12.2
#  - script convert_ELT_throughput_budget.R
#  - see ESO-306070 and ESO-293390 for background
#  - includes M1, M2, M3, M4, M5, M6
#  - includes spider emission (field-tracking)
#  - central obscuration assumed to be masked
#
wavelength    reflection   emissivity
1.310         0.8947       0.2783
1.315         0.8973       0.2757
1.320         0.8978       0.2752
1.325         0.8979       0.2751
1.330         0.8981       0.2749
1.335         0.9001       0.2729
1.340         0.9005       0.2725
1.345         0.8993       0.2737
1.350         0.9028       0.2702
1.355         0.9036       0.2694
1.360         0.9022       0.2708
1.365         0.9039       0.2691
1.370         0.9070       0.2660
1.375         0.9050       0.2680
1.380         0.9057       0.2673
1.385         0.9058       0.2672
1.390         0.9068       0.2662
1.395         0.9060       0.2670
1.400         0.9043       0.2687
1.405         0.9073       0.2657
1.410         0.9102       0.2628
1.415         0.9066       0.2664
1.420         0.9080       0.2650
1.425         0.9049       0.2681
1.430         0.9073       0.2657
1.435         0.9074       0.2656
1.440         0.9073       0.2657
1.445         0.9053       0.2677
1.450         0.9083       0.2647
1.455         0.9074       0.2656
1.460         0.9083       0.2647
1.465         0.9089       0.2641
1.470         0.9109       0.2621
1.475         0.9069       0.2661
1.480         0.9100       0.2630
1.485         0.9096       0.2634
1.490         0.9111       0.2619
1.495         0.9095       0.2635
1.500         0.9102       0.2628
1.505         0.9076       0.2654
1.510         0.9099       0.2631
1.515         0.9122       0.2608
1.520         0.9136       0.2594
1.525         0.9100       0.2630
1.530         0.9132       0.2598
1.535         0.9115       0.2615
1.540         0.9142       0.2588
1.545         0.9099       0.2631
1.550         0.9142       0.2588
1.555         0.9141       0.2589
1.560         0.9133       0.2597
1.565         0.9126       0.2604
1.570         0.9145       0.2585
1.575         0.9124       0.2606
1.580         0.9124       0.2606
1.585         0.9160       0.2570
1.590         0.9136       0.2594
1.595         0.9130       0.2600
1.600         0.9135       0.2595
1.605         0.9105       0.2625
1.610         0.9142       0.2588
1.615         0.9155       0.2575
1.620         0.9139       0.2591
1.625         0.9140       0.2590
1.630         0.9128       0.2602
1.635         0.9127       0.2603
1.640         0.9118       0.2612
1.645         0.9124       0.2606
1.650         0.9097       0.2633
1.655         0.9130       0.2600
1.660         0.9113       0.2617
1.665         0.9102       0.2628
1.670         0.9085       0.2645
1.675         0.9135       0.2595
1.680         0.9092       0.2638
1.685         0.9075       0.2655
1.690         0.9100       0.2630
1.695         0.9107       0.2623
1.700         0.9064       0.2666
1.705         0.9095       0.2635
1.710         0.9063       0.2667
1.715         0.9078       0.2652
1.720         0.9090       0.2640
1.725         0.9075       0.2655
1.730         0.9091       0.2639
1.735         0.9098       0.2632
1.740         0.9069       0.2661
1.745         0.9084       0.2646
1.750         0.9097       0.2633
1.755         0.9096       0.2634
1.760         0.9097       0.2633
1.765         0.9097       0.2633
1.770         0.9099       0.2631
1.775         0.9128       0.2602
1.780         0.9129       0.2601
1.785         0.9115       0.2615
1.790         0.9119       0.2611
1.795         0.9142       0.2588
1.800         0.9091       0.2639
1.805         0.9119       0.2611
1.810         0.9131       0.2599
1.815         0.9145       0.2585
1.820         0.9149       0.2581
1.825         0.9171       0.2559
1.830         0.9153       0.2577
1.835         0.9137       0.2593
1.840         0.9142       0.2588
1.845         0.9151       0.2579
1.850         0.9202       0.2528
1.855         0.9181       0.2549
1.860         0.9146       0.2584
1.865         0.9165       0.2565
1.870         0.9167       0.2563
1.875         0.9150       0.2580
1.880         0.9180       0.2550
1.885         0.9184       0.2546
1.890         0.9180       0.2550
1.895         0.9183       0.2547
1.900         0.9183       0.2547
1.905         0.9144       0.2586
1.910         0.9198       0.2532
1.915         0.9213       0.2517
1.920         0.9179       0.2551
1.925         0.9190       0.2540
1.930         0.9195       0.2535
1.935         0.9223       0.2507
1.940         0.9197       0.2533
1.945         0.9248       0.2482
1.950         0.9211       0.2519
1.955         0.9223       0.2507
1.960         0.9234       0.2496
1.965         0.9221       0.2509
1.970         0.9245       0.2485
1.975         0.9211       0.2519
1.980         0.9229       0.2501
1.985         0.9231       0.2499
1.990         0.9231       0.2499
1.995         0.9232       0.2498
2.000         0.9254       0.2476
2.005         0.9244       0.2486
2.010         0.9261       0.2469
2.015         0.9260       0.2470
2.020         0.9274       0.2456
2.025         0.9274       0.2456
2.030         0.9279       0.2451
2.035         0.9288       0.2442
2.040         0.9279       0.2451
2.045         0.9280       0.2450
2.050         0.9319       0.2411
2.055         0.9286       0.2444
2.060         0.9303       0.2427
2.065         0.9315       0.2415
2.070         0.9313       0.2417
2.075         0.9303       0.2427
2.080         0.9347       0.2383
2.085         0.9294       0.2436
2.090         0.9342       0.2388
2.095         0.9343       0.2387
2.100         0.9335       0.2395
2.105         0.9332       0.2398
2.110         0.9353       0.2377
2.115         0.9352       0.2378
2.120         0.9358       0.2372
2.125         0.9366       0.2364
2.130         0.9371       0.2359
2.135         0.9366       0.2364
2.140         0.9373       0.2357
2.145         0.9384       0.2346
2.150         0.9363       0.2367
2.155         0.9394       0.2336
2.160         0.9386       0.2344
2.165         0.9402       0.2328
2.170         0.9381       0.2349
2.175         0.9411       0.2319
2.180         0.9384       0.2346
2.185         0.9414       0.2316
2.190         0.9383       0.2347
2.195         0.9404       0.2326
2.200         0.9397       0.2333
2.205         0.9411       0.2319
2.210         0.9420       0.2310
2.215         0.9454       0.2276
2.220         0.9423       0.2307
2.225         0.9448       0.2282
2.230         0.9436       0.2294
2.235         0.9433       0.2297
2.240         0.9402       0.2328
2.245         0.9446       0.2284
2.250         0.9480       0.2250
2.255         0.9532       0.2198
2.260         0.9540       0.2190
2.265         0.9673       0.2057
2.270         0.9631       0.2099
2.275         0.9564       0.2166
2.280         0.9504       0.2226
2.285         0.9420       0.2310
2.290         0.9446       0.2284
2.295         0.9456       0.2274
2.300         0.9481       0.2249
2.305         0.9457       0.2273
2.310         0.9466       0.2264
2.315         0.9446       0.2284
2.320         0.9470       0.2260
2.325         0.9490       0.2240
2.330         0.9475       0.2255
2.335         0.9511       0.2219
2.340         0.9479       0.2251
2.345         0.9480       0.2250
2.350         0.9511       0.2219
2.355         0.9485       0.2245
2.360         0.9512       0.2218
2.365         0.9506       0.2224
2.370         0.9518       0.2212
2.375         0.9541       0.2189
2.380         0.9501       0.2229
2.385         0.9528       0.2202
2.390         0.9496       0.2234
2.395         0.9504       0.2226
2.400         0.9476       0.2254
2.405         0.9477       0.2253
2.410         0.9537       0.2193
2.415         0.9530       0.2200
2.420         0.9496       0.2234
2.425         0.9475       0.2255
2.430         0.9524       0.2206
2.435         0.9514       0.2216
2.440         0.9511       0.2219
2.445         0.9539       0.2191
2.450         0.9551       0.2179
2.455         0.9538       0.2192
2.460         0.9517       0.2213
2.465         0.9543       0.2187
2.470         0.9554       0.2176
2.475         0.9548       0.2182
2.480         0.9568       0.2162
2.485         0.9540       0.2190
2.490         0.9584       0.2146
2.495         0.9543       0.2187
2.500         0.9531       0.2199
24.000        0.9651       0.2079
