# author : Miguel Verdugo
# source : skycalc_ipy tool for standard Armazones conditions
# date_created : 2020-10-29
# date_modified : 2020-10-29
# status : Design
# type : atmosphere:ter_curve
# pwv : 2.5
# airmass : 1.2
# wdelta : 10
# wmin : 300
# wmax : 15000
# season : entire year
# time : entire night
# action : transmission
# wavelength_unit : um
# emission_unit : ph s-1 m-2 um-1 arcsec-2
# changes :
# - 2020-10-29 (MV) Created file
wavelength  transmission    emission
1.405      0.2075         467.5
1.410      0.2695        4915.3
1.415      0.3945       10707.2
1.420      0.3752        7281.9
1.425      0.4585         935.4
1.430      0.4397        1326.6
1.435      0.4974       15738.5
1.440      0.4980         952.9
1.445      0.5287        1218.4
1.450      0.5901       21778.0
1.455      0.7644        9301.7
1.460      0.7811       18443.8
1.465      0.6630        5087.2
1.470      0.6064       12310.0
1.475      0.7292        6751.0
1.480      0.6836       16577.7
1.485      0.7859       21027.8
1.490      0.8437       24355.3
1.495      0.8937        8515.9
1.500      0.9349        1852.3
1.505      0.9230       83446.3
1.510      0.9507        7000.1
1.515      0.9633        2443.8
1.520      0.9717       13810.3
1.525      0.9797       42384.6
1.530      0.9825       16145.4
1.535      0.9789       43264.9
1.540      0.9819       12410.6
1.545      0.9865       29542.4
1.550      0.9892       11454.1
1.555      0.9899       26041.3
1.560      0.9898       18168.6
1.565      0.9894       36414.6
1.570      0.9472        9369.6
1.575      0.9418        5109.5
1.580      0.9473        8901.9
1.585      0.9840       94828.2
1.590      0.9900        4160.3
1.595      0.9896       14120.8
1.600      0.9520         785.5
1.605      0.9423       42872.5
1.610      0.9431       16747.3
1.615      0.9782       45822.5
1.620      0.9883       13390.4
1.625      0.9892       31282.9
1.630      0.9873        9434.8
1.635      0.9847       20262.4
1.640      0.9757       13257.2
1.645      0.9722       19663.4
1.650      0.9702       31958.8
1.655      0.9792        7472.8
1.660      0.9866        2641.2
1.665      0.9584         359.3
1.670      0.9870       78222.7
1.675      0.9868        9268.8
1.680      0.9838         914.8
1.685      0.9820        9746.5
1.690      0.9825       38651.5
1.695      0.9805       15050.1
1.700      0.9834       40811.3
1.705      0.9786         650.0
1.710      0.9740       40312.1
1.715      0.9743         585.5
1.720      0.9740        7416.9
1.725      0.9632       15769.3
1.730      0.9563        4913.0
1.735      0.9656       13897.4
1.740      0.9587       19538.8
1.745      0.9326       21951.7
1.750      0.9645        6994.7
1.755      0.9351        1969.6
1.760      0.9624         319.5
1.765      0.8985       60745.4
1.770      0.9456        6426.5
1.775      0.8948        1930.4
1.780      0.8509        4641.5
1.785      0.7933         476.5
1.790      0.8442       30357.8
1.795      0.7131         351.3
1.800      0.5684       32619.7
1.805      0.5210        6886.6
1.810      0.5001       17244.0
1.815      0.3785         669.9
1.820      0.2403        2354.3
1.825      0.3834        5093.1
1.830      0.1496        1087.1
1.835      0.0827        1295.4
1.840      0.0386        1475.9
1.845      0.1598        4429.2
1.850      0.1084        1456.8
1.855      0.0540        3394.3
1.860      0.1411        2693.8
1.865      0.1649        1549.6
1.870      0.0147        2268.6
1.875      0.0180        4780.5
1.880      0.2278        3120.4
1.885      0.2007        2010.0
1.890      0.2368        2766.6
1.895      0.2781        1819.4
1.900      0.0718        2819.4
1.905      0.0449        3732.2
1.910      0.2052        2517.4
1.915      0.1038        3197.9
1.920      0.2695        4140.3
1.925      0.3360       13785.4
1.930      0.2706        2892.9
1.935      0.4387        6323.0
1.940      0.3620        3010.6
1.945      0.5048        2054.0
1.950      0.5197        3390.8
1.955      0.3353        4871.3
1.960      0.4713        3874.6
1.965      0.5024        5682.7
1.970      0.6506        8312.8
1.975      0.8254       13431.7
1.980      0.8419         882.8
1.985      0.8888        3696.4
1.990      0.9105        1001.7
1.995      0.8635         892.3
2.000      0.4204       18315.6
2.005      0.2477        9698.8
2.010      0.4322        3162.4
2.015      0.3770        4144.4
2.020      0.5382        4963.4
2.025      0.7772        1380.2
2.030      0.8883       13855.1
2.035      0.9358        6865.0
2.040      0.9225       19016.9
2.045      0.9102         436.9
2.050      0.7490        4677.9
2.055      0.6118       14912.5
2.060      0.7751        1527.0
2.065      0.6934        2726.6
2.070      0.7628        2091.1
2.075      0.8370        9487.7
2.080      0.9302         508.6
2.085      0.9274        2349.6
2.090      0.9487        4167.1
2.095      0.9687         274.6
2.100      0.9663         619.4
2.105      0.9841        3197.5
2.110      0.9777        5479.0
2.115      0.9848        1558.7
2.120      0.9791        5626.6
2.125      0.9869        8178.7
2.130      0.9867         811.4
2.135      0.9914        2195.2
2.140      0.9928          56.5
2.145      0.9913          68.0
2.150      0.9795       16816.3
2.155      0.9831        7012.6
2.160      0.9811        2662.2
2.165      0.9744        1275.4
2.170      0.9838        3903.3
2.175      0.9778         439.6
2.180      0.9837       11767.9
2.185      0.9670        5679.5
2.190      0.9845         380.8
2.195      0.9827       14232.4
2.200      0.9300        1364.3
2.205      0.9646        5056.5
2.210      0.9882        5684.3
2.215      0.9782        6027.8
2.220      0.9791         353.9
2.225      0.9761        3339.6
2.230      0.9731        7046.4
2.235      0.9707         635.9
2.240      0.9675         689.1
2.245      0.9516        2541.2
2.250      0.9672        3907.3
2.255      0.9414        1482.3
2.260      0.9352        1707.8
2.265      0.9536        1242.5
2.270      0.9266        2621.4
2.275      0.9207        3550.6
2.280      0.9584        1259.2
2.285      0.9219        2489.8
2.290      0.9202        2791.3
2.295      0.9200        3304.4
2.300      0.9048        3602.7
2.305      0.9147        2978.7
2.310      0.9576        1591.8
2.315      0.9084        4142.8
2.320      0.8786        6347.1
2.325      0.9418        3570.3
2.330      0.9331        3399.8
2.335      0.9398        3057.5
2.340      0.8758        9289.8
2.345      0.8998        6299.9
2.350      0.8268       15995.0
2.355      0.8819        8964.2
2.360      0.9077        6903.9
2.365      0.9231        8479.2
2.370      0.7490       24673.3
2.375      0.8796       11840.9
2.380      0.8930       17092.0
2.385      0.8200       30045.1
2.390      0.8479       28703.3
2.395      0.8770       20369.0
2.400      0.9329       10140.7
2.405      0.8468       34793.0
2.410      0.8602       32660.7
2.415      0.7935       57256.1
2.420      0.7773       64255.2
2.425      0.8668       34054.7
2.430      0.9650        6493.8
2.435      0.6307      123420.1
2.440      0.9683        7006.8
2.445      0.7326       94985.3
2.450      0.6773      117646.2
2.455      0.8373       58210.9
2.460      0.9355       20777.5
2.465      0.7967       83284.8
2.470      0.7167      124612.9
2.475      0.7391      111544.2
2.480      0.6627      148150.5
2.485      0.6069      182249.3
2.490      0.4745      259556.8
2.495      0.5056      250938.5
2.500      0.7447      124966.8
2.505      0.4102      333042.6
2.510      0.4976      288854.9
2.515      0.2494      471438.0
2.520      0.4210      350689.1
2.525      0.2185      517239.6
2.530      0.1232      615609.3
2.535      0.0850      685816.1
2.540      0.1579      609645.8
2.545      0.0209      816773.5
2.550      0.0165      851902.6
2.555      0.0991      731006.3
2.560      0.0268      899314.0
2.565      0.0032      992436.6
2.570      0.0004     1032961.2
2.575      0.0000     1100675.2
2.580      0.0005     1090987.5
2.585      0.0000     1173384.5
2.590      0.0000     1193762.6
2.595      0.0000     1260675.9
2.600      0.0001     1251482.3
2.605      0.0000     1333976.5
2.610      0.0000     1346646.3
2.615      0.0000     1406318.6
2.620      0.0000     1444047.9
2.625      0.0001     1439719.7
2.630      0.0000     1530706.8
2.635      0.0014     1492937.6
2.640      0.0041     1488050.9
2.645      0.0004     1596485.0
2.650      0.0038     1560448.2
2.655      0.0000     1733726.1
2.660      0.0000     1798911.8
2.665      0.0000     1882184.4
2.670      0.0000     1937746.0
2.675      0.0000     1993434.4
2.680      0.0000     2044571.8
2.685      0.0000     2100844.8
2.690      0.0000     2123290.5
2.695      0.0000     2215228.0
2.700      0.0000     2253148.0
2.705      0.0000     2293049.3
2.710      0.0000     2407369.7
2.715      0.0000     2383722.0
2.720      0.0000     2535998.9
2.725      0.0000     2573542.4
2.730      0.0010     2438924.8
2.735      0.0000     2640234.1
2.740      0.0000     2826062.3
2.745      0.0000     2795320.4
2.750      0.0000     2881777.7
2.755      0.0000     3036644.5
2.760      0.0000     3084200.7
2.765      0.0000     3192015.8
2.770      0.0000     3266374.9
2.775      0.0000     3293997.5
2.780      0.0000     3420988.8
2.785      0.0000     3480055.4
2.790      0.0000     3506640.3
2.795      0.0009     3441044.2
2.800      0.0012     3546150.8
2.805      0.0000     3864737.6
2.810      0.0099     3462205.4
2.815      0.0055     3660283.2
2.820      0.0012     3998804.1
2.825      0.0749     3064158.9
2.830      0.1302     2997209.1
2.835      0.0053     4154473.6
2.840      0.0448     3819408.2
2.845      0.2088     2723165.9
2.850      0.0763     3774861.1
2.855      0.0250     4373614.6
2.860      0.1806     3169238.1
2.865      0.2695     2714540.1
2.870      0.1430     3664248.0
2.875      0.3731     2515628.9
2.880      0.3456     2702094.6
2.885      0.3607     2634983.3
2.890      0.2415     3514407.8
2.895      0.6245     1558603.8
2.900      0.2881     3556038.4
2.905      0.2755     3610830.9
2.910      0.6138     1804016.9
2.915      0.4610     2783802.8
2.920      0.5461     2429323.1
2.925      0.3451     3715599.6
2.930      0.7640     1226246.5
2.935      0.7774     1170338.0
2.940      0.5011     2829690.2
2.945      0.4565     3293456.5
2.950      0.6844     1881279.3
2.955      0.4515     3401158.9
2.960      0.6852     1823521.1
2.965      0.7642     1344252.8
2.970      0.2288     5232431.0
2.975      0.3608     4243013.9
2.980      0.4392     3770450.4
2.985      0.7770     1320900.3
2.990      0.8278     1097905.2
2.995      0.5988     2892828.0
3.000      0.7732     1652089.1
3.005      0.5378     3515216.4
3.010      0.6805     2390826.9
3.015      0.7531     1786526.2
3.020      0.3606     5374799.9
3.025      0.6907     2517993.0
3.030      0.7124     2338371.9
3.035      0.4407     4926126.1
3.040      0.5062     4360808.1
3.045      0.6530     3078208.2
3.050      0.4154     5439991.8
3.055      0.3462     6125536.8
3.060      0.7420     2301618.2
3.065      0.5510     4341729.6
3.070      0.5829     4033378.1
3.075      0.6599     3470491.8
3.080      0.5189     5204136.3
3.085      0.5847     4202847.7
3.090      0.6346     3801812.7
3.095      0.3965     6595705.4
3.100      0.6356     3993649.8
3.105      0.3706     7309705.5
3.110      0.4358     6590043.9
3.115      0.5671     5065867.9
3.120      0.8981     1049046.8
3.125      0.5058     6141761.7
3.130      0.6509     4203824.1
3.135      0.9078      995755.0
3.140      0.5690     5585959.4
