# author : Kieran Leschinski
# source : skycalc website
# date_created : 2019-07-24
# date_modified : 2019-07-24
# status : Design
# type : atmosphere:ter_curve
# pwv : 2.5
# action : transmission
# wavelength_unit : nm
# emission_unit : ph s-1 m-2 um-1 arcsec-2
# changes :
# - 2019-07-24 (KL) Created file
#
wavelength  transmission    emission
0.9000      0.9240          758.6800
0.9010      0.8951          38.00000
0.9020      0.9128          1.2960 0
0.9030      0.9016          3.0260 0
0.9040      0.9612          131.3800
0.9050      0.9548          667.6400
0.9060      0.9416          8.5720 0
0.9070      0.8963          7.9920 0
0.9080      0.9056          60.05900
0.9090      0.9154          10.97500
0.9100      0.9075          24.99000
0.9110      0.9230          15.45300
0.9120      0.9184          56.91100
0.9130      0.9096          51.71800
0.9140      0.9014          88.21600
0.9150      0.9368          0.3860 0
0.9160      0.8837          54.38100
0.9170      0.9434          73.84300
0.9180      0.8950          49.07600
0.9190      0.9393          70.89100
0.9200      0.9395          73.08500
0.9210      0.9574          95.25200
0.9220      0.9386          48.65400
0.9230      0.9554          51.21000
0.9240      0.9447          74.22100
0.9250      0.9378          71.18100
0.9260      0.9474          78.47700
0.9270      0.9599          87.73100
0.9280      0.9101          57.66000
0.9290      0.9034          55.01700
0.9300      0.8385          14.83400
0.9310      0.8015          18.11000
0.9320      0.7320          963.6400
0.9330      0.6919          219.0100
0.9340      0.6420          164.1800
0.9350      0.6529          99.73300
0.9360      0.5914          55.82900
0.9370      0.6297          79.95800
0.9380      0.6831          357.1000
0.9390      0.8112          31.15800
0.9400      0.8648          563.8100
0.9410      0.8180          96.40500
0.9420      0.8259          225.8300
0.9430      0.6929          19.00500
0.9440      0.7121          714.6800
0.9450      0.8083          88.90100
0.9460      0.6576          231.9200
0.9470      0.8253          8.6380 0
0.9480      0.7077          595.1300
0.9490      0.8950          48.55800
0.9500      0.6050          67.55700
0.9510      0.9196          124.9000
0.9520      0.7303          925.0100
0.9530      0.7974          88.78100
0.9540      0.8486          20.93500
0.9550      0.8078          96.91800
0.9560      0.7892          497.7300
0.9570      0.7609          693.9500
0.9580      0.8449          23.84500
0.9590      0.8215          9.2010 0
0.9600      0.8544          30.60800
0.9610      0.8588          1.9200 0
0.9620      0.8516          199.8600
0.9630      0.8792          47.75700
0.9640      0.8663          40.18800
0.9650      0.8786          52.29100
0.9660      0.8920          37.13400
0.9670      0.8855          350.0900
0.9680      0.9343          638.3200
0.9690      0.9555          445.7200
0.9700      0.9372          802.6100
0.9710      0.9625          947.9000
0.9720      0.9458          705.4500
0.9730      0.9342          89.87800
0.9740      0.9210          127.3100
0.9750      0.9116          87.98800
0.9760      0.9135          78.12200
0.9770      0.9381          94.89800
0.9780      0.9416          97.68400
0.9790      0.9351          928.3000
0.9800      0.9258          626.2800
0.9810      0.9650          986.9800
0.9820      0.9613          40.44800
0.9830      0.9508          78.88300
0.9840      0.9730          22.55300
0.9850      0.9587          171.9400
0.9860      0.9740          24.33100
0.9870      0.9725          944.7900
0.9880      0.9711          36.89600
0.9890      0.9758          30.26800
0.9900      0.9722          686.2800
0.9910      0.9754          27.65700
0.9920      0.9760          221.4800
0.9930      0.9738          29.33100
0.9940      0.9762          540.3600
0.9950      0.9768          884.9400
0.9960      0.9766          743.8000
0.9970      0.9767          34.42900
0.9980      0.9768          803.0400
0.9990      0.9768          35.35500
1.0000      0.9760          1830.980
1.0010      0.9770          1432.010
1.0020      0.9743          10885.80
1.0030      0.9769          3659.040
1.0040      0.9762          747.5590
1.0050      0.9774          1816.870
1.0060      0.9768          2719.090
1.0070      0.9772          1931.740
1.0080      0.9766          640.0340
1.0090      0.9762          5973.470
1.0100      0.9756          771.9680
1.0110      0.9776          2812.130
1.0120      0.9769          645.9660
1.0130      0.9777          7195.770
1.0140      0.9777          781.5870
1.0150      0.9778          1193.110
1.0160      0.9775          4191.820
1.0170      0.9775          9776.900
1.0180      0.9782          2767.920
1.0190      0.9767          8325.840
1.0200      0.9781          695.8260
1.0210      0.9781          14536.20
1.0220      0.9778          650.1950
1.0230      0.9777          6993.600
1.0240      0.9765          652.1360
1.0250      0.9783          654.3300
1.0260      0.9780          654.8030
1.0270      0.9782          1341.920
1.0280      0.9780          656.7710
1.0290      0.9780          29415.50
1.0300      0.9785          10230.00
1.0310      0.9783          3830.440
1.0320      0.9786          659.0310
1.0330      0.9785          1574.760
1.0340      0.9786          950.0880
1.0350      0.9787          6290.000
1.0360      0.9786          1225.220
1.0370      0.9783          693.5140
1.0380      0.9785          18736.80
1.0390      0.9785          696.8720
1.0400      0.9785          7448.330
1.0410      0.9784          715.7280
1.0420      0.9785          19807.70
1.0430      0.9785          894.5540
1.0440      0.9784          726.9060
1.0450      0.9783          5893.150
1.0460      0.9782          708.9190
1.0470      0.9781          13260.90
1.0480      0.9779          694.2490
1.0490      0.9773          686.6190
1.0500      0.9769          705.7890
1.0510      0.9771          3511.720
1.0520      0.9765          663.5050
1.0530      0.9762          6673.500
1.0540      0.9758          647.0950
1.0550      0.9751          639.3520
1.0560      0.9744          631.7920
1.0570      0.9735          622.6530
1.0580      0.9725          1722.470
1.0590      0.9716          2787.890
1.0600      0.9710          606.9400
1.0610      0.9706          589.8190
1.0620      0.9700          582.7290
1.0630      0.9693          590.4760
1.0640      0.9687          931.2890
1.0650      0.9677          908.9030
1.0660      0.9678          916.7840
1.0670      0.9685          621.2550
1.0680      0.9679          628.7620
1.0690      0.9700          1709.800
1.0700      0.9716          3053.060
1.0710      0.9737          7468.390
1.0720      0.9737          3351.480
1.0730      0.9750          11642.50
1.0740      0.9769          684.2240
1.0750      0.9736          18078.00
1.0760      0.9776          701.5360
1.0770      0.9753          787.6910
1.0780      0.9758          5128.680
1.0790      0.9793          728.4940
1.0800      0.9737          759.4840
1.0810      0.9746          752.9920
1.0820      0.9786          749.9430
1.0830      0.9782          37452.00
1.0840      0.9723          13900.30
1.0850      0.9773          1149.760
1.0860      0.9620          4772.710
1.0870      0.9759          853.7710
1.0880      0.9785          1881.060
1.0890      0.9745          679.7800
1.0900      0.9672          8169.360
1.0910      0.9772          661.5190
1.0920      0.9801          652.9640
1.0930      0.9534          24405.50
1.0940      0.9767          623.9900
1.0950      0.9650          9763.370
1.0960      0.9591          596.9000
1.0970      0.9792          608.6270
1.0980      0.9602          26471.20
1.0990      0.9627          569.3580
1.1000      0.9486          553.2790
1.1010      0.9530          7738.400
1.1020      0.9506          533.1110
1.1030      0.9447          18070.90
1.1040      0.9367          520.7850
1.1050      0.9662          535.2610
1.1060      0.9211          506.8420
1.1070      0.9520          4529.510
1.1080      0.9272          504.6850
1.1090      0.9242          9330.200
1.1100      0.9544          514.4500
1.1110      0.8531          455.7680
1.1120      0.9058          481.2360
1.1130      0.8207          432.6010
1.1140      0.8501          2121.260
1.1150      0.7754          404.0150
1.1160      0.7713          3567.640
1.1170      0.5718          292.6570
1.1180      0.7695          394.2590
1.1190      0.6449          326.6730
1.1200      0.6754          339.7710
1.1210      0.7795          461.1150
1.1220      0.5556          518.6350
1.1230      0.6898          697.5130
1.1240      0.5915          290.7140
1.1250      0.6868          341.0780
1.1260      0.4966          246.2880
1.1270      0.7542          381.0760
1.1280      0.6763          344.5470
1.1290      0.6724          1664.950
1.1300      0.5964          3399.980
1.1310      0.9088          9465.420
1.1320      0.8026          3603.000
1.1330      0.7759          12768.20
1.1340      0.5246          279.3170
1.1350      0.2583          10723.90
1.1360      0.6830          372.2920
1.1370      0.9128          504.0470
1.1380      0.7966          1946.400
1.1390      0.8362          509.4220
1.1400      0.8057          452.6220
1.1410      0.7800          437.6860
1.1420      0.7816          438.5910
1.1430      0.9074          510.5350
1.1440      0.6426          35927.60
1.1450      0.7167          15204.90
1.1460      0.7829          901.3300
1.1470      0.5718          4788.430
1.1480      0.8305          659.4600
1.1490      0.7991          1896.630
1.1500      0.6577          366.5300
1.1510      0.7861          885.7460
1.1520      0.8358          862.7370
1.1530      0.7387          411.6220
1.1540      0.7280          27218.10
1.1550      0.8690          565.9310
1.1560      0.8302          462.5670
1.1570      0.8717          6430.260
1.1580      0.8547          479.4170
1.1590      0.8788          29340.40
1.1600      0.8366          463.1690
1.1610      0.9116          504.4590
1.1620      0.9086          501.8520
1.1630      0.9613          9124.000
1.1640      0.9325          515.5610
1.1650      0.9292          20775.70
1.1660      0.9230          509.8520
1.1670      0.9361          517.1580
1.1680      0.9419          520.4700
1.1690      0.9578          528.6120
1.1700      0.9592          5704.790
1.1710      0.9533          524.8150
1.1720      0.9535          11941.70
1.1730      0.9634          530.9260
1.1740      0.8979          493.8610
1.1750      0.9557          520.0580
1.1760      0.9750          523.9150
1.1770      0.9686          2804.510
1.1780      0.9080          476.4750
1.1790      0.9798          5114.210
1.1800      0.9425          486.7520
1.1810      0.9631          492.3070
1.1820      0.8809          443.9680
1.1830      0.9681          482.1480
1.1840      0.9421          462.0940
1.1850      0.9395          1231.710
1.1860      0.9745          469.9150
1.1870      0.9664          1915.890
1.1880      0.9003          421.3630
1.1890      0.9515          440.7660
1.1900      0.9691          444.8870
1.1910      0.9627          437.2920
1.1920      0.9718          436.7310
1.1930      0.9588          425.6860
1.1940      0.9708          635.9550
1.1950      0.9669          773.6100
1.1960      0.9598          409.0900
1.1970      0.9770          2889.920
1.1980      0.9609          4871.930
1.1990      0.9345          8584.040
1.2000      0.9653          4160.690
1.2010      0.9614          14976.90
1.2020      0.9574          6215.210
1.2030      0.9649          16589.70
1.2040      0.9012          413.9940
1.2050      0.9491          354.9030
1.2060      0.9763          6053.870
1.2070      0.9501          345.4700
1.2080      0.9584          341.0250
1.2090      0.9558          338.7960
1.2100      0.9651          342.0300
1.2110      0.9583          339.0440
1.2120      0.9621          44173.40
1.2130      0.9774          1671.060
1.2140      0.9644          15638.00
1.2150      0.9608          4879.600
1.2160      0.9791          1699.980
1.2170      0.9729          549.5740
1.2180      0.9705          2100.210
1.2190      0.9629          330.6950
1.2200      0.9696          8948.740
1.2210      0.9767          818.9840
1.2220      0.9664          327.5340
1.2230      0.9686          28968.80
1.2240      0.9682          345.8320
1.2250      0.9745          441.9400
1.2260      0.9786          11572.60
1.2270      0.9693          320.8800
1.2280      0.9787          321.9850
1.2290      0.9790          32580.20
1.2300      0.9758          318.8990
1.2310      0.9801          318.9630
1.2320      0.9801          317.2560
1.2330      0.9753          9709.600
1.2340      0.9803          319.2400
1.2350      0.9795          23664.80
1.2360      0.9797          311.8020
1.2370      0.9782          309.7570
1.2380      0.9792          308.8270
1.2390      0.9789          308.5920
1.2400      0.9788          6041.820
1.2410      0.9776          310.1730
