# author : Miguel Verdugo
# source : skycalc_ipy tool for standard Armazones conditions
# date_created : 2020-10-29
# date_modified : 2020-10-29
# status : Design
# type : atmosphere:ter_curve
# pwv : 2.5
# airmass : 1.2
# wdelta : 10
# wmin : 2500
# wmax : 15000
# season : entire year
# time : entire night
# action : transmission
# wavelength_unit : um
# emission_unit : ph s-1 m-2 um-1 arcsec-2
# changes :
# - 2020-10-29 (MV) Created file
wavelength  transmission    emission
 4.360       0.0000   391823829.9
 4.370       0.0000   392871030.3
 4.380       0.0000   386688449.4
 4.390       0.0000   398089046.9
 4.400       0.0000   401009634.9
 4.410       0.0000   403128789.4
 4.420       0.0001   403493746.8
 4.430       0.0006   404337702.1
 4.440       0.0043   389677346.7
 4.450       0.0109   379558333.0
 4.460       0.0165   374351214.4
 4.470       0.0156   376664299.7
 4.480       0.0525   330645486.1
 4.490       0.1418   273243539.2
 4.500       0.2551   216804096.4
 4.510       0.1330   284127092.1
 4.520       0.1475   281507471.5
 4.530       0.1723   278745203.0
 4.540       0.2323   259575645.5
 4.550       0.2660   244253816.5
 4.560       0.4202   189525435.8
 4.570       0.3948   194416846.4
 4.580       0.5440   141136618.5
 4.590       0.6842    95328084.3
 4.600       0.7378    78533294.6
 4.610       0.8030    61100417.5
 4.620       0.8230    59390495.3
 4.630       0.7906    76007392.6
 4.640       0.8840    38988697.0
 4.650       0.8663    51482297.4
 4.660       0.8395    70671928.0
 4.670       0.8788    57371473.1
 4.680       0.7596   115851505.4
 4.690       0.8916    25548049.2
 4.700       0.7273    57288323.9
 4.710       0.6591    88137591.1
 4.720       0.7263    46508464.5
 4.730       0.6736   143129581.4
 4.740       0.7579    58317911.2
 4.750       0.7045    86710352.2
 4.760       0.7466    75904258.5
 4.770       0.7519    76438420.7
 4.780       0.5928   176685003.6
 4.790       0.6384   160848601.5
 4.800       0.7282    92438134.3
 4.810       0.3611   319714190.6
 4.820       0.6268   173550393.7
 4.830       0.6633   126084112.9
 4.840       0.3881   377226052.5
 4.850       0.5231   269274666.9
 4.860       0.7099   136397633.4
 4.870       0.6853   152291867.4
 4.880       0.7430   121523920.4
 4.890       0.5751   275183993.3
 4.900       0.5832   301907224.4
 4.910       0.7982   119403147.1
 4.920       0.9022    60254473.3
 4.930       0.7578   177550257.9
 4.940       0.7538   186361992.8
 4.950       0.5689   347705020.7
 4.960       0.4444   450238685.1
 4.970       0.9250    51106845.6
 4.980       0.6384   294676624.5
 4.990       0.9325    48894349.4
 5.000       0.6897   259220174.2
 5.010       0.8522   116022103.7
 5.020       0.1837   745698131.3
 5.030       0.4375   494206521.4
 5.040       0.8999    80228555.2
 5.050       0.9116    72592121.1
 5.060       0.8165   157956563.8
 5.070       0.9226    63800391.9
 5.080       0.3634   610223309.9
 5.090       0.5752   402257505.8
 5.100       0.6205   353917732.0
 5.110       0.5404   429561107.1
 5.120       0.7139   273117618.3
 5.130       0.7028   273351920.6
 5.140       0.1319   892281565.8
 5.150       0.1338   929704480.3
 5.160       0.7149   265133362.3
 5.170       0.5192   431765360.0
 5.180       0.7979   189657722.7
 5.190       0.6620   320676803.4
 5.200       0.0693  1058271995.7
 5.210       0.0879  1032134814.7
 5.220       0.2368   809203289.0
 5.230       0.3864   643919227.0
 5.240       0.0886  1073795477.6
 5.250       0.4068   633604663.6
 5.260       0.6438   375477101.6
 5.270       0.4889   555734731.1
 5.280       0.1700   997402989.9
 5.290       0.0828  1149646986.3
 5.300       0.2833   827374938.3
 5.310       0.4288   684039165.8
 5.320       0.5569   511288510.2
 5.330       0.5537   514540717.8
 5.340       0.3036   839818723.3
 5.350       0.0000  1451341717.3
 5.360       0.0697  1245301366.2
 5.370       0.3417   819122085.9
 5.380       0.2517   969024011.5
 5.390       0.4774   641028457.3
 5.400       0.3766   784547328.6
 5.410       0.0712  1310325700.7
 5.420       0.0009  1539591576.3
 5.430       0.0571  1347088430.3
 5.440       0.0763  1317767089.9
 5.450       0.0993  1261173212.6
 5.460       0.0210  1489202277.4
 5.470       0.0041  1564104743.4
 5.480       0.0056  1582259472.1
 5.490       0.1396  1250553137.5
 5.500       0.2618  1059098651.4
 5.510       0.2709  1021854309.1
 5.520       0.0091  1635621900.6
 5.530       0.0336  1530795643.2
 5.540       0.0977  1376709195.0
 5.550       0.0023  1711932436.1
 5.560       0.0037  1709153739.2
 5.570       0.0001  1767384140.8
 5.580       0.0000  1816814978.7
 5.590       0.0171  1673788201.2
 5.600       0.0286  1658366614.3
 5.610       0.0099  1739088828.8
 5.620       0.0019  1822468176.3
 5.630       0.0030  1819902864.6
 5.640       0.0000  1910582958.0
 5.650       0.0000  1908031434.5
 5.660       0.0052  1849120539.2
 5.670       0.0033  1874384924.1
 5.680       0.0009  1927236973.2
 5.690       0.0001  1972447210.9
 5.700       0.0034  1901603975.4
 5.710       0.0000  2024713378.3
 5.720       0.0000  2052993099.1
 5.730       0.0000  2047207679.5
 5.740       0.0000  2060074517.3
 5.750       0.0000  2094565199.5
 5.760       0.0000  2104388047.4
 5.770       0.0000  2139344960.4
 5.780       0.0000  2127760781.5
 5.790       0.0031  2048249292.0
 5.800       0.0024  2098337821.8
 5.810       0.0002  2145908127.8
 5.820       0.0000  2231505881.4
 5.830       0.0000  2245938778.6
 5.840       0.0001  2211719611.2
 5.850       0.0000  2236457384.6
 5.860       0.0000  2290281114.7
 5.870       0.0000  2307911070.0
 5.880       0.0000  2340267988.4
 5.890       0.0000  2352002856.8
 5.900       0.0000  2367293243.6
 5.910       0.0000  2342012545.8
 5.920       0.0000  2397868301.7
 5.930       0.0000  2414929941.0
 5.940       0.0000  2449118326.9
 5.950       0.0000  2451219434.0
 5.960       0.0000  2437345672.9
 5.970       0.0000  2494655397.8
 5.980       0.0000  2501674730.0
 5.990       0.0000  2536441788.0
 6.000       0.0000  2496661519.4
 6.010       0.0000  2545006627.7
 6.020       0.0000  2554245581.9
 6.030       0.0000  2545550353.2
 6.040       0.0000  2618888354.7
 6.050       0.0000  2656118815.1
 6.060       0.0000  2653333387.4
 6.070       0.0000  2691211632.3
 6.080       0.0000  2684613658.8
 6.090       0.0000  2663242849.6
 6.100       0.0000  2705346479.7
 6.110       0.0000  2764808392.3
 6.120       0.0000  2759581088.6
 6.130       0.0002  2702377551.6
 6.140       0.0000  2781863987.1
 6.150       0.0000  2788899118.0
 6.160       0.0000  2853814009.2
 6.170       0.0000  2823482891.3
 6.180       0.0000  2875387926.4
 6.190       0.0000  2897460078.1
 6.200       0.0005  2819822940.3
 6.210       0.0008  2857336975.1
 6.220       0.0003  2895101423.6
 6.230       0.0093  2737093057.7
 6.240       0.0011  2915838107.4
 6.250       0.0160  2740589975.3
