# author : Miguel Verdugo
# source : skycalc_ipy tool for standard Armazones conditions
# date_created : 2020-10-29
# date_modified : 2020-10-29
# status : Design
# type : atmosphere:ter_curve
# pwv : 2.5
# airmass : 1.2
# wdelta : 1
# wmin : 300
# wmax : 1100
# season : entire year
# time : entire night
# action : transmission
# wavelength_unit : um
# emission_unit : ph s-1 m-2 um-1 arcsec-2
# changes :
# - 2020-10-29 (MV) Created file
wavelength  transmission    emission
0.528       0.8584        574.1
0.529       0.8583        575.6
0.530       0.8584        592.3
0.531       0.8585        598.2
0.532       0.8588        573.5
0.533       0.8592        570.4
0.534       0.8599        573.4
0.535       0.8607        577.8
0.536       0.8616        587.5
0.537       0.8623        567.2
0.538       0.8629        570.8
0.539       0.8634        567.9
0.540       0.8637        550.4
0.541       0.8638        549.5
0.542       0.8640        562.2
0.543       0.8645        557.6
0.544       0.8645        566.3
0.545       0.8649        571.1
0.546       0.8650        575.4
0.547       0.8656        570.8
0.548       0.8660        568.8
0.549       0.8665        579.3
0.550       0.8669        579.8
0.551       0.8672        572.5
0.552       0.8676        569.7
0.553       0.8678        566.7
0.554       0.8680        584.3
0.555       0.8682        592.8
0.556       0.8683        572.0
0.557       0.8683        590.6
0.558       0.8682       4745.8
0.559       0.8680        575.1
0.560       0.8677        570.6
0.561       0.8674        594.4
0.562       0.8671        573.7
0.563       0.8668        598.7
0.564       0.8665        580.2
0.565       0.8663        582.4
0.566       0.8659        564.3
0.567       0.8656        586.0
0.568       0.8649        578.1
0.569       0.8636        570.0
0.570       0.8633        574.8
0.571       0.8633        562.2
0.572       0.8623        576.6
0.573       0.8620        587.0
0.574       0.8618        584.5
0.575       0.8618        581.0
0.576       0.8621        576.4
0.577       0.8626        579.9
0.578       0.8636        576.1
0.579       0.8651        568.8
0.580       0.8672        578.0
0.581       0.8695        582.2
0.582       0.8714        587.3
0.583       0.8731        590.1
0.584       0.8744        588.4
0.585       0.8755        583.0
0.586       0.8763        574.7
0.587       0.8768        701.0
0.588       0.8759        581.2
0.589       0.8729       1219.7
0.590       0.8735        917.6
0.591       0.8756        600.3
0.592       0.8743        636.0
0.593       0.8755        688.7
0.594       0.8751        567.9
0.595       0.8744        593.3
0.596       0.8761        662.3
0.597       0.8759        588.9
0.598       0.8764        604.4
0.599       0.8768        560.4
0.600       0.8774        572.8
0.601       0.8779        579.3
0.602       0.8782        555.3
0.603       0.8788        564.5
0.604       0.8795        577.1
0.605       0.8801        564.2
0.606       0.8809        562.2
0.607       0.8817        567.9
0.608       0.8827        560.8
0.609       0.8836        558.4
0.610       0.8845        559.7
0.611       0.8856        556.0
0.612       0.8865        555.5
0.613       0.8873        546.9
0.614       0.8881        570.7
0.615       0.8889        577.6
0.616       0.8896        549.8
0.617       0.8903        580.0
0.618       0.8909        565.1
0.619       0.8915        571.0
0.620       0.8919        590.0
0.621       0.8923        564.3
0.622       0.8926        590.6
0.623       0.8928        542.6
0.624       0.8930        777.9
0.625       0.8932        587.7
0.626       0.8933        712.2
0.627       0.8933        609.3
0.628       0.8686        544.4
0.629       0.8845        661.5
0.630       0.8833       3615.9
0.631       0.8910        705.1
0.632       0.8941        573.1
0.633       0.8969        717.8
0.634       0.8988        529.4
0.635       0.9003        561.8
0.636       0.9017        618.4
0.637       0.9031       1536.4
0.638       0.9045        549.8
0.639       0.9056        570.6
0.640       0.9068        522.0
0.641       0.9079        517.2
0.642       0.9088        558.2
0.643       0.9096        519.1
0.644       0.9105        518.5
0.645       0.9111        525.5
0.646       0.9110        528.4
0.647       0.9099        727.7
0.648       0.9087        530.6
0.649       0.9094        500.3
0.650       0.9129        736.8
0.651       0.9141        580.1
0.652       0.9109        570.9
0.653       0.9149        674.0
0.654       0.9159        510.2
0.655       0.9144        563.3
0.656       0.9168        702.6
0.657       0.9171        512.7
0.658       0.9183        646.7
0.659       0.9193        508.0
0.660       0.9202        535.0
0.661       0.9211        578.9
0.662       0.9218        507.2
0.663       0.9224        521.2
0.664       0.9229        535.5
0.665       0.9235        507.4
0.666       0.9241        516.7
0.667       0.9247        511.1
0.668       0.9253        498.4
0.669       0.9259        499.0
0.670       0.9265        503.3
0.671       0.9270        500.8
0.672       0.9276        497.4
0.673       0.9281        493.1
0.674       0.9286        498.8
0.675       0.9291        493.6
0.676       0.9296        485.5
0.677       0.9301        485.6
0.678       0.9306        483.8
0.679       0.9310        493.3
0.680       0.9314        481.1
0.681       0.9318        481.8
0.682       0.9322        480.8
0.683       0.9325        823.4
0.684       0.9329        784.9
0.685       0.9333        481.8
0.686       0.9337        524.0
0.687       0.7388        874.6
0.688       0.8156        471.1
0.689       0.8230        516.9
0.690       0.8364        530.2
0.691       0.8751        575.9
0.692       0.8976        448.7
0.693       0.9108        726.6
0.694       0.9176        584.0
0.695       0.9269        794.8
0.696       0.9262        474.7
0.697       0.9364        556.9
0.698       0.9367        643.3
0.699       0.9315        468.8
0.700       0.9325        471.8
0.701       0.9327        582.5
0.702       0.9340        446.0
0.703       0.9337        449.9
0.704       0.9366        481.3
0.705       0.9371        548.4
0.706       0.9388        482.3
0.707       0.9392        492.1
0.708       0.9395        504.9
0.709       0.9409        500.9
0.710       0.9409        455.2
0.711       0.9414        461.1
0.712       0.9419        454.7
0.713       0.9420        486.1
0.714       0.9418        473.1
0.715       0.9406        497.9
0.716       0.9404        471.9
0.717       0.9198        462.7
0.718       0.9022        473.3
0.719       0.8777        417.9
0.720       0.8926        430.0
0.721       0.9114        429.2
0.722       0.9388        449.3
0.723       0.9207        458.8
0.724       0.9031       1306.9
0.725       0.9056       1123.6
0.726       0.9196        649.6
0.727       0.9137        497.1
0.728       0.9110       1579.4
0.729       0.9183        894.3
0.730       0.9311        558.7
0.731       0.9195        733.5
0.732       0.9323       1281.5
0.733       0.9412        804.4
0.734       0.9429       1459.8
0.735       0.9427        502.6
0.736       0.9436        789.8
0.737       0.9433       1337.7
0.738       0.9472        480.0
0.739       0.9464        695.6
0.740       0.9485        926.9
0.741       0.9493        457.8
0.742       0.9500        475.3
0.743       0.9503        757.8
0.744       0.9508        710.6
0.745       0.9511        452.0
0.746       0.9512        494.9
0.747       0.9514        694.7
0.748       0.9516        797.6
0.749       0.9519        659.7
0.750       0.9522        526.4
0.751       0.9525        442.5
0.752       0.9528        565.0
0.753       0.9532       1319.1
0.754       0.9534        503.6
0.755       0.9537        458.4
0.756       0.9540        594.1
0.757       0.9542        914.9
0.758       0.9545        498.0
0.759       0.9527        600.0
0.760       0.3905        343.2
0.761       0.2917        152.6
0.762       0.6855        486.0
0.763       0.4593        426.4
0.764       0.5883        305.6
0.765       0.6715        327.1
0.766       0.7664        584.7
0.767       0.8479        391.8
0.768       0.9149        449.7
0.769       0.9314        597.3
0.770       0.9466        579.5
0.771       0.9534       1369.8
0.772       0.9550       1747.3
0.773       0.9555        841.6
0.774       0.9560        602.3
0.775       0.9564       2033.0
0.776       0.9566       1170.2
0.777       0.9568        521.9
0.778       0.9569       1078.7
0.779       0.9570        592.0
0.780       0.9572       1676.1
0.781       0.9574        986.8
0.782       0.9576       2062.4
0.783       0.9578        519.7
0.784       0.9579        940.4
0.785       0.9580        734.7
0.786       0.9581       2634.1
0.787       0.9566       1295.5
0.788       0.9564       1088.6
0.789       0.9555        915.5
0.790       0.9523        562.7
0.791       0.9552        723.1
0.792       0.9556       3106.7
0.793       0.9553       1099.9
0.794       0.9594        535.4
0.795       0.9587        982.6
0.796       0.9546        479.0
0.797       0.9550       2069.9
0.798       0.9588       1184.4
0.799       0.9578        531.1
0.800       0.9565       2098.7
0.801       0.9564        514.4
0.802       0.9566        986.7
0.803       0.9564       1817.8
0.804       0.9572        518.2
0.805       0.9580        783.2
0.806       0.9599       1023.8
0.807       0.9595        503.1
0.808       0.9600        535.2
0.809       0.9587        537.8
0.810       0.9574        799.5
0.811       0.9560        575.4
0.812       0.9524        495.7
0.813       0.9494        522.9
0.814       0.9265        576.5
0.815       0.9255        597.3
0.816       0.9001        466.9
0.817       0.9054        468.3
0.818       0.9043        465.6
0.819       0.9273        513.2
0.820       0.9142        516.8
0.821       0.9533        523.1
0.822       0.9468        507.9
0.823       0.8561        445.4
0.824       0.9417        522.3
0.825       0.9455        535.5
0.826       0.9367        513.0
0.827       0.9495        512.2
0.828       0.9132       1733.5
0.829       0.9380       1953.8
0.830       0.9379       2268.0
0.831       0.9394       1002.8
0.832       0.9306        563.0
0.833       0.9556        514.3
0.834       0.9481        564.6
0.835       0.9609       4307.4
0.836       0.9540       1763.3
0.837       0.9619        958.0
0.838       0.9600       1440.4
0.839       0.9622        583.1
0.840       0.9630       3291.5
0.841       0.9621        537.6
0.842       0.9635       1532.6
0.843       0.9647       3301.9
0.844       0.9639        593.9
0.845       0.9654       1464.3
0.846       0.9655        587.1
0.847       0.9662       2824.7
0.848       0.9655        603.9
0.849       0.9656        542.5
0.850       0.9659       1277.3
0.851       0.9648       1699.2
0.852       0.9656        584.7
0.853       0.9660        551.8
0.854       0.9655       1520.1
0.855       0.9665        972.7
0.856       0.9662        548.3
0.857       0.9667        576.3
0.858       0.9668        659.1
0.859       0.9670        682.9
0.860       0.9674        741.8
0.861       0.9675        628.3
0.862       0.9677       1038.1
0.863       0.9678       1832.5
0.864       0.9681       1468.4
0.865       0.9682       1406.9
0.866       0.9683       2021.1
0.867       0.9684       1880.3
0.868       0.9686       1306.9
0.869       0.9687        808.8
0.870       0.9688        757.5
0.871       0.9689        713.6
0.872       0.9691        583.3
0.873       0.9692        602.0
0.874       0.9692        627.1
0.875       0.9693        622.0
0.876       0.9694       3203.4
0.877       0.9695       3464.3
0.878       0.9695       3722.0
0.879       0.9696       1544.0
0.880       0.9697        588.0
0.881       0.9694        724.5
0.882       0.9694        578.5
0.883       0.9697       6777.5
0.884       0.9697       3214.5
0.885       0.9697       1356.4
0.886       0.9687        649.1
0.887       0.9694       2233.7
0.888       0.9684        581.9
0.889       0.9703       5049.1
0.890       0.9688        667.6
0.891       0.9697       2534.8
0.892       0.9681       5410.0
0.893       0.9635        737.6
0.894       0.9603        655.9
0.895       0.9517       2157.2
0.896       0.9345       4537.9
0.897       0.9045        662.7
0.898       0.9197        697.2
0.899       0.8460       1687.5
0.900       0.9240       2758.7
0.901       0.8951        538.0
0.902       0.9128        601.3
0.903       0.9016        603.0
0.904       0.9612       1131.4
0.905       0.9548       1667.6
0.906       0.9416        608.6
0.907       0.8963        708.0
0.908       0.9056        560.1
0.909       0.9154        711.0
0.910       0.9075       1025.0
0.911       0.9230        815.5
0.912       0.9184        556.9
0.913       0.9096        551.7
0.914       0.9013        588.2
0.915       0.9368        800.4
0.916       0.8837        954.4
0.917       0.9434        573.8
0.918       0.8950        549.1
0.919       0.9393        570.9
0.920       0.9395        573.1
0.921       0.9574        595.3
0.922       0.9386        748.7
0.923       0.9554        851.2
0.924       0.9447        574.2
0.925       0.9378        571.2
0.926       0.9474        578.5
0.927       0.9599        587.7
0.928       0.9101        557.7
0.929       0.9034        555.0
0.930       0.8385        514.8
0.931       0.8015       3018.1
0.932       0.7320       3963.7
0.933       0.6919       3219.0
0.934       0.6420       1164.2
0.935       0.6529        399.7
0.936       0.5914        355.8
