# description : Slit mask for the offset short, narrow slit (3 arcsec x 16 mas)
# author : Kieran Leschinski, Oliver Czoske
# source : ELT-TRE-MCD-56300-0014_3.0
# date_created  : 2026-02-03
# date_modified : 2026-02-03
# status : FDR design
# type : aperture:slit_geometry
# x_unit : arcsec
# y_unit : arcsec
# changes :
# - 2019-07-10 (KL) Created the file
# - 2020-03-24 (KL) Changed geometry to 3000x20mas
# - 2023-07-13 (OC) Changed geometry to 3000x16mas
# - 2026-02-03 (OC) Initialised from MASK_slit_3000x16.dat
#
x       y
-1.5    1.192
1.5     1.192
1.5     1.208
-1.5    1.208
