# name: lapalma_sky
# wavelength_unit: angstrom
# emission_unit: flam
# rescale_emission: {filter_name: "V", value: 21.9, unit: mag}
wavelength     emission
4286.424       2.507735
4290.764       3.093355
4295.104       2.990487
4299.443       2.403816
4303.783       3.345527
4308.122       3.521759
4312.462       3.187322
4316.801       3.051423
4321.141       3.243095
4325.480       2.919816
4329.820       2.458659
4334.160       3.208463
4338.499       3.205658
4342.839       4.105225
4347.178       5.911756
4351.518       6.056167
4355.857       5.869403
4360.197       4.524305
4364.537       3.624466
4368.876       3.028846
4373.216       2.924489
4377.555       3.131868
4381.895       3.523037
4386.234       3.167687
4390.574       3.372963
4394.914       4.079848
4399.253       4.450698
4403.593       4.719575
4407.932       4.035640
4412.271       3.869441
4416.611       4.016979
4420.951       4.027802
4425.291       4.062568
4429.630       3.851364
4433.969       3.595317
4438.309       4.101012
4442.648       3.495073
4446.988       3.601647
4451.328       3.122060
4455.667       3.319685
4460.007       3.232898
4464.346       3.978060
4468.686       4.018425
4473.025       3.532530
4477.365       3.476155
4481.705       3.095949
4486.044       3.541861
4490.384       3.680616
4494.723       4.351566
4499.063       3.967561
4503.402       3.489945
4507.742       3.565661
4512.082       3.246480
4516.421       4.372099
4520.761       4.628343
4525.100       4.145028
4529.440       4.389330
4533.779       4.016697
4538.119       3.879400
4542.458       4.142122
4546.798       4.173910
4551.138       4.553837
4555.477       3.622483
4559.816       4.517159
4564.156       4.611845
4568.496       4.247702
4572.835       4.541910
4577.175       4.349418
4581.515       4.002076
4585.854       4.227582
4590.193       3.782601
4594.533       3.554430
4598.873       3.683539
4603.212       4.490541
4607.552       4.046549
4611.891       3.895410
4616.231       4.388167
4620.570       4.112197
4624.910       3.702665
4629.250       3.609210
4633.589       4.413864
4637.929       4.436852
4642.268       4.507930
4646.608       4.272472
4650.947       4.038569
4655.287       3.649241
4659.626       4.410405
4663.966       4.523016
4668.306       4.569571
4672.645       4.728734
4676.985       4.196020
4681.324       4.076762
4685.664       4.432988
4690.003       3.754329
4694.343       3.744492
4698.683       3.897152
4703.022       4.392177
4707.362       4.328281
4711.701       5.118388
4716.041       4.975786
4720.380       4.748792
4724.720       3.847275
4729.060       4.210388
4733.399       3.983473
4737.739       4.015512
4742.078       4.631036
4746.417       5.124455
4750.757       4.960431
4755.097       5.360884
4759.437       4.853938
4763.776       4.721290
4768.115       4.894946
