# name: lapalma_extinction
# wavelength_unit: angstrom
wavelength               transmission
3.600000000000000000e+03 6.574155918802123688e-01
4.300000000000000000e+03 8.184647881347898446e-01
5.500000000000000000e+03 9.103323996799096429e-01
6.500000000000000000e+03 9.484184633008971854e-01
8.200000000000000000e+03 9.856438126864568439e-01
9.500000000000000000e+03 9.920190223514374628e-01
1.000000000000000000e+04 9.920190223514374628e-01
